INSTNM,CITY,STABBR,CONTROL,UGDS,C150_4,COSTT4_A,COSTT4_A_IMP,TUITIONFEE_IN,TUITIONFEE_IN_IMP,TUITIONFEE_OUT,TUITIONFEE_OUT_IMP,PCTPELL,GRAD_DEBT_MDN,MD_EARN_WNE_P10,ROI,ZIP,LATITUDE,LONGITUDE
Eastern New Mexico University-Roswell Campus,Roswell,NM,1,1300.0,,11816.0,11816.0,2256.0,2256.0,5616.0,5616.0,0.2434,16500.0,38550.0,1.2260440985732814,88203-6000,33.313167,-104.525718
Institute of American Indian and Alaska Native Culture and Arts Development,Santa Fe,NM,1,334.0,0.1463,24854.0,24854.0,5920.0,5920.0,5920.0,5920.0,0.2252,,24505.0,4.056967965721281,87508-1300,35.586563,-106.010015
New Mexico Highlands University,Las Vegas,NM,1,1451.0,0.2618,20868.0,20868.0,7416.0,7416.0,12336.0,12336.0,0.4509,11399.0,45937.0,1.8170973289505192,87701,35.596233,-105.219197
New Mexico Junior College,Hobbs,NM,1,2175.0,,9258.0,9258.0,1440.0,1440.0,2280.0,2280.0,0.2653,11313.0,34233.0,1.0817632109368154,88240,32.757808,-103.182896
New Mexico Military Institute,Roswell,NM,1,331.0,,19121.0,19121.0,7190.0,7190.0,14156.0,14156.0,0.244,5500.0,57410.0,1.3322417697265285,88201-5173,33.409617,-104.524448
University of New Mexico-Gallup Campus,Gallup,NM,1,808.0,,11620.0,11620.0,2906.0,2906.0,5682.0,5682.0,0.3587,18450.0,44792.0,1.0376853009465976,87301,35.502662,-108.727252
New Mexico Institute of Mining and Technology,Socorro,NM,1,995.0,0.5705,24967.0,24967.0,9476.0,9476.0,27247.0,27247.0,0.295,19085.0,76489.0,1.3056517930682843,87801,34.067041,-106.905211
University of New Mexico-Los Alamos Campus,Los Alamos,NM,1,218.0,,17783.0,17783.0,2214.0,2214.0,5686.0,5686.0,0.1549,18450.0,44792.0,1.5880514377567423,87544,35.886153,-106.319557
University of New Mexico-Main Campus,Albuquerque,NM,1,17244.0,0.5469,21259.0,21259.0,10140.0,10140.0,33060.0,33060.0,0.3873,18450.0,44792.0,1.8984640114306126,87131,35.083868,-106.620155
New Mexico State University-Alamogordo,Alamogordo,NM,1,591.0,,15728.0,15728.0,2616.0,2616.0,6072.0,6072.0,0.296,17095.0,39067.0,1.6103616863337344,88310,32.92033,-105.926241
Southeast New Mexico College,Carlsbad,NM,1,469.0,,13604.0,13604.0,1176.0,1176.0,4008.0,4008.0,0.1178,,40747.0,1.3354602792843644,88220,32.442028,-104.265536
New Mexico State University-Grants,Grants,NM,1,356.0,,8514.0,8514.0,2136.0,2136.0,4272.0,4272.0,0.2362,17095.0,39067.0,0.8717331763380859,87020-2025,35.165965,-107.843638
New Mexico State University-Main Campus,Las Cruces,NM,1,11946.0,0.5517,23274.0,23274.0,8183.0,8183.0,25307.0,25307.0,0.3849,17095.0,39067.0,2.3829830803491436,88003-8001,32.281568,-106.752069
University of New Mexico-Valencia County Campus,Los Lunas,NM,1,525.0,,13469.0,13469.0,1878.0,1878.0,5130.0,5130.0,0.2313,18450.0,44792.0,1.202804072155742,87031-7633,34.728683,-106.705371
Northern New Mexico College,Espanola,NM,1,926.0,0.2866,19702.0,19702.0,6400.0,6400.0,14328.0,14328.0,0.3181,6000.0,38112.0,2.0678001679261127,87532,36.004073,-106.084395
San Juan College,Farmington,NM,1,4304.0,,15140.0,15140.0,1928.0,1928.0,5412.0,5412.0,0.3209,9750.0,36513.0,1.6585873524498125,87402-4699,36.770446,-108.169468
Santa Fe Community College,Santa Fe,NM,1,3369.0,,18405.0,18405.0,1851.0,1851.0,4131.0,4131.0,0.1702,13236.0,38005.0,1.937113537692409,87508-4887,35.605871,-105.998054
University of the Southwest,Hobbs,NM,2,346.0,0.1698,28210.0,28210.0,16670.0,16670.0,16670.0,16670.0,0.5519,21303.0,45389.0,2.4860649055938664,88240,32.775496,-103.186948
Southwestern College,Santa Fe,NM,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,87507-9196,35.636241,-106.052585
Southwestern Indian Polytechnic Institute,Albuquerque,NM,1,215.0,,12125.0,12125.0,1095.0,1095.0,1095.0,1095.0,0.4807,,27660.0,1.7534345625451917,87120-3101,35.176084,-106.664475
University of New Mexico-Taos Campus,Ranchos de Taos,NM,1,377.0,,16228.0,16228.0,2136.0,2136.0,5136.0,5136.0,0.2877,18450.0,44792.0,1.4491873548848009,87557,36.348861,-105.651709
Mesalands Community College,Tucumcari,NM,1,411.0,,15975.0,15975.0,2136.0,2136.0,3408.0,3408.0,0.1706,,32272.0,1.9800446207238473,88401-3352,35.170332,-103.736303
Vogue College of Cosmetology-Santa Fe,Santa Fe,NM,3,55.0,,,31946.0,,16657.0,,16657.0,0.6552,6333.0,40747.0,3.136034554691143,87505,35.659082,-105.981816
Western New Mexico University,Silver City,NM,1,2026.0,0.3223,21562.0,21562.0,7856.0,7856.0,14342.0,14342.0,0.4345,23000.0,39095.0,2.2061133137229825,88061,32.7767,-108.283284
Vaughn College of Aeronautics and Technology,Flushing,NY,2,1302.0,0.3919,47346.0,47346.0,29810.0,29810.0,29810.0,29810.0,0.4967,21125.0,64973.0,2.9148107675495973,11369,40.768348,-73.881721
Adelphi University,Garden City,NY,2,5276.0,0.6715,63189.0,63189.0,49110.0,49110.0,49110.0,49110.0,0.3103,25000.0,75482.0,3.348559921570706,11530-0701,40.721439,-73.653321
