INSTNM,CITY,STABBR,CONTROL,UGDS,C150_4,COSTT4_A,COSTT4_A_IMP,TUITIONFEE_IN,TUITIONFEE_IN_IMP,TUITIONFEE_OUT,TUITIONFEE_OUT_IMP,PCTPELL,GRAD_DEBT_MDN,MD_EARN_WNE_P10,ROI,ZIP,LATITUDE,LONGITUDE
Alabama A & M University,Normal,AL,1,6124.0,0.2403,27153.0,27153.0,10024.0,10024.0,18634.0,18634.0,0.6298,31000.0,40628.0,2.673328738800827,35762,34.783368,-86.568502
University of Alabama at Birmingham,Birmingham,AL,1,11635.0,0.6423,28145.0,28145.0,9098.0,9098.0,22562.0,22562.0,0.3402,22300.0,54501.0,2.0656501715564852,35294-0110,33.505697,-86.799345
Amridge University,Montgomery,AL,2,241.0,1.0,,46093.0,7590.0,7590.0,7590.0,7590.0,0.7655,32189.0,37621.0,4.90077350415991,36117-3553,32.362609,-86.17401
University of Alabama in Huntsville,Huntsville,AL,1,6591.0,0.6429,27392.0,27392.0,12132.0,12132.0,26408.0,26408.0,0.2464,20705.0,61767.0,1.7738922078132335,35899,34.724557,-86.640449
Alabama State University,Montgomery,AL,1,3477.0,0.3034,23586.0,23586.0,11248.0,11248.0,19576.0,19576.0,0.7134,31000.0,34502.0,2.734450176801345,36104-0271,32.364317,-86.295677
The University of Alabama,Tuscaloosa,AL,1,33227.0,0.7337,33382.0,33382.0,12180.0,12180.0,34172.0,34172.0,0.184,22750.0,59221.0,2.2547407169753972,35487-0100,33.211875,-87.545978
Central Alabama Community College,Alexander City,AL,1,1203.0,,21413.0,21413.0,5110.0,5110.0,8980.0,8980.0,0.3183,9766.0,33506.0,2.5563182713543844,35010,32.92478,-85.945266
Athens State University,Athens,AL,1,2446.0,,,17783.0,,5507.0,,11010.0,0.4251,18051.0,50273.0,1.4149145664670897,35611,34.806793,-86.964698
Auburn University at Montgomery,Montgomery,AL,1,2542.0,0.326,21353.0,21353.0,9700.0,9700.0,20668.0,20668.0,0.4235,25000.0,44391.0,1.9240837106620712,36117-3596,32.36736,-86.177544
Auburn University,Auburn,AL,1,26816.0,0.8195,34919.0,34919.0,12890.0,12890.0,34922.0,34922.0,0.1253,21000.0,65337.0,2.1377779818479574,36849,32.599378,-85.488258
Chattahoochee Valley Community College,Phenix City,AL,1,1110.0,,12600.0,12600.0,5100.0,5100.0,8970.0,8970.0,0.4025,10500.0,36438.0,1.3831714144574345,36869,32.42391,-85.031485
South University-Montgomery,Montgomery,AL,3,299.0,0.0909,34793.0,34793.0,18145.0,18145.0,18145.0,18145.0,0.6556,26123.0,34421.0,4.043229423898202,36116,32.342684,-86.216488
Enterprise State Community College,Enterprise,AL,1,1585.0,,19956.0,19956.0,5100.0,5100.0,8970.0,8970.0,0.3496,7499.0,42572.0,1.8750352344263836,36330-1300,31.297496,-85.836956
Coastal Alabama Community College,Bay Minette,AL,1,4798.0,,20605.0,20605.0,5040.0,5040.0,8910.0,8910.0,0.3567,11000.0,34894.0,2.3620106608586005,36507-2698,30.851343,-87.778193
Faulkner University,Montgomery,AL,2,1549.0,0.374,37626.0,37626.0,23920.0,23920.0,23920.0,23920.0,0.4562,23000.0,43457.0,3.4632855466323034,36109-3390,32.384181,-86.21641
Gadsden State Community College,Gadsden,AL,1,3548.0,,10189.0,10189.0,4272.0,4272.0,7368.0,7368.0,0.4634,,32937.0,1.2373925979901024,35903,33.994001,-85.991438
New Beginning College of Cosmetology,Albertville,AL,3,81.0,,,31946.0,,16657.0,,16657.0,0.6667,9500.0,40747.0,3.136034554691143,35951,34.27871,-86.196931
George C Wallace Community College-Dothan,Dothan,AL,1,3017.0,,9308.0,9308.0,4980.0,4980.0,8850.0,8850.0,0.4706,,31399.0,1.1857702474601102,36303-9234,31.315274,-85.465836
George C Wallace State Community College-Hanceville,Hanceville,AL,1,4423.0,,19008.0,19008.0,5220.0,5220.0,9090.0,9090.0,0.346,11000.0,39842.0,1.9083379348426284,35077-2000,34.072439,-86.781935
George C Wallace State Community College-Selma,Selma,AL,1,855.0,,19175.0,19175.0,4740.0,4740.0,8610.0,8610.0,0.3773,,31598.0,2.4273688208114437,36702-2808,32.445917,-87.013294
Herzing University-Birmingham,Birmingham,AL,2,442.0,0.125,27750.0,27750.0,13450.0,13450.0,13450.0,13450.0,0.6771,21500.0,36909.0,3.0073965699422907,35209,33.468466,-86.832465
Huntingdon College,Montgomery,AL,2,879.0,0.4798,40908.0,40908.0,29070.0,29070.0,29070.0,29070.0,0.4007,27000.0,49601.0,3.2989657466583333,36106-2148,32.351034,-86.284366
Heritage Christian University,Florence,AL,2,75.0,0.6667,20909.0,20909.0,11982.0,11982.0,11982.0,11982.0,0.3571,,42597.0,1.9634246543183793,35630-9977,34.856153,-87.663051
J. F. Drake State Community and Technical College,Huntsville,AL,1,755.0,,14456.0,14456.0,5190.0,5190.0,9060.0,9060.0,0.4431,,28281.0,2.0446235988826422,35811,34.771858,-86.572885
J F Ingram State Technical College,Deatsville,AL,1,960.0,,,17783.0,6084.0,6084.0,6084.0,6084.0,0.0,,40747.0,1.7456990698701744,36022,32.582312,-86.392369
Jacksonville State University,Jacksonville,AL,1,7036.0,0.5472,24257.0,24257.0,12894.0,12894.0,23334.0,23334.0,0.426,22189.0,45235.0,2.144976235216094,36265,33.822938,-85.765321
Jefferson State Community College,Birmingham,AL,1,5470.0,,14814.0,14814.0,5100.0,5100.0,8970.0,8970.0,0.3483,9689.0,40719.0,1.455242024607677,35215-3098,33.652535,-86.707233
John C Calhoun State Community College,Tanner,AL,1,7070.0,,13073.0,13073.0,5120.0,5120.0,8990.0,8990.0,0.3041,12000.0,38192.0,1.3691872643485548,35671,34.645844,-86.949674
Lawson State Community College,Birmingham,AL,1,2900.0,,14895.0,14895.0,5040.0,5040.0,8910.0,8910.0,0.5991,,31701.0,1.8794359799375413,35221-1717,33.450814,-86.888844
University of West Alabama,Livingston,AL,1,2974.0,0.347,22758.0,22758.0,10990.0,10990.0,20090.0,20090.0,0.5817,24944.0,44232.0,2.058057514921324,35470,32.588132,-88.186329
Lurleen B Wallace Community College,Andalusia,AL,1,1097.0,,12392.0,12392.0,5190.0,5190.0,9060.0,9060.0,0.3183,,32307.0,1.5342804964868295,36420-1224,31.322947,-86.452262
Marion Military Institute,Marion,AL,1,329.0,,18743.0,18743.0,9538.0,9538.0,15538.0,15538.0,0.5357,9250.0,59644.0,1.2569914827979345,36756-3207,32.623734,-87.322041
Miles College,Fairfield,AL,2,1155.0,0.158,21154.0,21154.0,13314.0,13314.0,13314.0,13314.0,0.7194,31217.0,32627.0,2.593434885217764,35064-2621,33.482442,-86.908751
University of Mobile,Mobile,AL,2,1307.0,0.5685,41115.0,41115.0,26910.0,26910.0,26910.0,26910.0,0.2565,26500.0,43611.0,3.7710669326546054,36613-2842,30.793247,-88.128934
University of Montevallo,Montevallo,AL,1,2151.0,0.541,27398.0,27398.0,13948.0,13948.0,26968.0,26968.0,0.3238,24000.0,42957.0,2.5512023651558535,35115-6000,33.10625,-86.865099
Northwest Shoals Community College,Muscle Shoals,AL,1,1969.0,,11340.0,11340.0,5131.0,5131.0,9001.0,9001.0,0.2669,10000.0,33828.0,1.3409010287335934,35661,34.739788,-87.678089
University of North Alabama,Florence,AL,1,5811.0,0.5491,23786.0,23786.0,12120.0,12120.0,22320.0,22320.0,0.2435,22077.0,45415.0,2.0949906418584168,35632-0001,34.80731,-87.680407
Northeast Alabama Community College,Rainsville,AL,1,1629.0,,11620.0,11620.0,5040.0,5040.0,8910.0,8910.0,0.3418,6100.0,34913.0,1.3313092544324463,35986,34.545471,-85.911664
Oakwood University,Huntsville,AL,2,1153.0,0.4462,40176.0,40176.0,22512.0,22512.0,22512.0,22512.0,0.4437,27000.0,42488.0,3.7823385426473357,35896,34.756344,-86.652705
Reid State Technical College,Evergreen,AL,1,416.0,,10739.0,10739.0,5454.0,5454.0,9324.0,9324.0,0.5,,28982.0,1.4821613415223243,36401,31.460265,-86.964797
Bishop State Community College,Mobile,AL,1,2437.0,,13085.0,13085.0,5340.0,5340.0,9210.0,9210.0,0.3941,,29916.0,1.7495654499264608,36603-5898,30.693972,-88.056982
Samford University,Birmingham,AL,2,4206.0,0.7704,57456.0,57456.0,40150.0,40150.0,40150.0,40150.0,0.1109,19500.0,58469.0,3.93069831876721,35229-2240,33.464128,-86.791799
Selma University,Selma,AL,2,32.0,0.06,,46093.0,4800.0,4800.0,4800.0,4800.0,0.0,,40747.0,4.524799371732889,36701,32.420387,-87.032392
Shelton State Community College,Tuscaloosa,AL,1,3148.0,,20350.0,20350.0,5127.0,5127.0,8997.0,8997.0,0.4305,,35014.0,2.3247843719654995,35405-8522,33.120531,-87.56148
Snead State Community College,Boaz,AL,1,1427.0,,11220.0,11220.0,5278.0,5278.0,9664.0,9664.0,0.3094,9000.0,35735.0,1.2559115712886526,35957-0734,34.201495,-86.169897
University of South Alabama,Mobile,AL,1,8879.0,0.5267,25476.0,25476.0,10116.0,10116.0,19092.0,19092.0,0.3796,24929.0,49379.0,2.0637112942748943,36688-0002,30.696033,-88.178711
Spring Hill College,Mobile,AL,2,782.0,0.521,39936.0,39936.0,24054.0,24054.0,24054.0,24054.0,0.3161,27000.0,51500.0,3.1018252427184465,36608-1780,30.694751,-88.138199
Stillman College,Tuscaloosa,AL,2,706.0,0.25,26107.0,26107.0,12126.0,12126.0,12126.0,12126.0,0.763,29067.0,35421.0,2.948194573840377,35401,33.200006,-87.585278
Talladega College,Talladega,AL,2,701.0,0.3091,25185.0,25185.0,15650.0,15650.0,15650.0,15650.0,0.6662,28500.0,32229.0,3.1257563064320952,35160,33.433472,-86.112704
H Councill Trenholm State Community College,Montgomery,AL,1,1674.0,,16971.0,16971.0,5190.0,5190.0,9060.0,9060.0,0.6371,,32183.0,2.1093123698847216,36108-3199,32.350109,-86.343057
Troy University,Troy,AL,1,9805.0,0.503,23165.0,23165.0,10176.0,10176.0,20352.0,20352.0,0.4282,25000.0,42062.0,2.20293851932861,36082-0001,31.799583,-85.95802
Tuskegee University,Tuskegee,AL,2,2630.0,0.5498,43454.0,43454.0,25386.0,25386.0,25386.0,25386.0,0.5767,27000.0,49641.0,3.5014604862915735,36088-1920,32.4309,-85.708492
United States Sports University,Daphne,AL,2,228.0,,32606.0,32606.0,13800.0,13800.0,13800.0,13800.0,0.4462,,55257.0,2.36031634001122,36526-7055,30.639329,-87.91163
Bevill State Community College,Jasper,AL,1,2177.0,,13827.0,13827.0,4734.0,4734.0,8346.0,8346.0,0.2983,,34107.0,1.6216026035711144,35501,33.837056,-87.265258
University of Alaska Anchorage,Anchorage,AK,1,7212.0,0.2971,24096.0,24096.0,7738.0,7738.0,21322.0,21322.0,0.1846,20210.0,51871.0,1.8581480981666056,99508,61.190163,-149.82619
Alaska Bible College,Palmer,AK,2,24.0,0.375,28903.0,28903.0,9730.0,9730.0,9730.0,9730.0,0.3284,,40747.0,2.8373131764301665,99645,61.598553,-149.111972
University of Alaska Fairbanks,Fairbanks,AK,1,4207.0,0.3801,22407.0,22407.0,8736.0,8736.0,22320.0,22320.0,0.2243,20291.0,48866.0,1.8341587197642533,99775,64.85756,-147.823146
University of Alaska Southeast,Juneau,AK,1,907.0,0.2805,21043.0,21043.0,7056.0,7056.0,20640.0,20640.0,0.143,19111.0,48475.0,1.736400206291903,99801-8697,58.384846,-134.638255
Alaska Pacific University,Anchorage,AK,2,457.0,0.4722,34026.0,34026.0,20760.0,20760.0,20760.0,20760.0,0.3204,23500.0,54271.0,2.507858709071143,99508,61.190968,-149.804168
Alaska Vocational Technical Center,Seward,AK,1,107.0,,,17783.0,,5507.0,,11010.0,0.0327,,51083.0,1.3924789068770433,99664-0889,60.110626,-149.444487
Charter College,Anchorage,AK,3,2157.0,0.5606,41344.0,41344.0,18375.0,18375.0,18375.0,18375.0,0.574,14176.0,35504.0,4.657954033348355,99508-4103,61.19633,-149.839274
Alaska Career College,Anchorage,AK,3,250.0,,,31946.0,,16657.0,,16657.0,0.4044,7377.0,34468.0,3.7073227341302077,99507-1033,61.181443,-149.856954
Empire Beauty School-Tucson,Tucson,AZ,3,203.0,,,31946.0,,16657.0,,16657.0,0.5043,13000.0,25073.0,5.096478283412436,85716,32.235657,-110.927187
Carrington College-Phoenix North,Phoenix,AZ,3,1080.0,,,31946.0,,16657.0,,16657.0,0.5616,9500.0,36718.0,3.480145977449752,85051-4063,33.565758,-112.104601
Carrington College-Mesa,Mesa,AZ,3,528.0,,,31946.0,,16657.0,,16657.0,0.5166,9500.0,36718.0,3.480145977449752,85210-5005,33.39248,-111.853218
Carrington College-Tucson,Tucson,AZ,3,517.0,,,31946.0,,16657.0,,16657.0,0.6547,9500.0,36718.0,3.480145977449752,85745-2974,32.224391,-110.983056
Arizona Academy of Beauty,Tucson,AZ,3,47.0,,,31946.0,,16657.0,,16657.0,0.7317,5250.0,21201.0,6.0272628649592,85712,32.237253,-110.872305
Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,3,689.0,,,31946.0,,16657.0,,16657.0,0.7333,15917.0,31102.0,4.108546074207447,85301-3579,33.537249,-112.157344
Brookline College-Phoenix,Phoenix,AZ,3,712.0,0.5288,,31946.0,,16657.0,,16657.0,0.3587,9500.0,29576.0,4.320530159588856,85021,33.566102,-112.112473
Arizona State University Campus Immersion,Tempe,AZ,1,64674.0,0.6804,30111.0,30111.0,12223.0,12223.0,33139.0,33139.0,0.2899,19500.0,62668.0,1.9219378311099764,85287,33.417721,-111.934383
Arizona Western College,Yuma,AZ,1,6374.0,,15868.0,15868.0,3060.0,3060.0,9870.0,9870.0,0.4072,4826.0,36857.0,1.722115201996907,85365-8834,32.689306,-114.495968
University of Arizona,Tucson,AZ,1,42537.0,0.6752,29423.0,29423.0,13926.0,13926.0,42278.0,42278.0,0.257,19620.0,59979.0,1.9622201103719634,85721-0066,32.232672,-110.950815
Central Arizona College,Coolidge,AZ,1,4912.0,,10720.0,10720.0,2250.0,2250.0,4500.0,4500.0,0.2957,10010.0,40513.0,1.0584256905190927,85128-9030,32.957092,-111.652501
Charles of Italy Beauty College,Lake Havasu City,AZ,3,76.0,,,31946.0,,16657.0,,16657.0,0.6207,7388.0,26269.0,4.864440976055427,86403,34.477485,-114.332686
Cochise County Community College District,Sierra Vista,AZ,1,3096.0,0.3044,14342.0,14342.0,2280.0,2280.0,6120.0,6120.0,0.3815,6750.0,38033.0,1.5083743065232824,85635-2317,31.564597,-110.246946
Empire Beauty School-Chandler,Chandler,AZ,3,104.0,,,31946.0,,16657.0,,16657.0,0.619,10667.0,23921.0,5.34191714393211,85224,33.347586,-111.860423
Avalon Institute-Mesa,Mesa,AZ,3,298.0,,,31946.0,,16657.0,,16657.0,0.4504,6332.0,30803.0,4.148427101256371,85210,33.376583,-111.858305
Eastern Arizona College,Thatcher,AZ,1,2643.0,0.4194,16696.0,16696.0,2352.0,2352.0,9552.0,9552.0,0.1594,,38018.0,1.7566415908253985,85552-0769,32.843664,-109.76234
Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,2,3218.0,0.6776,62798.0,62798.0,44149.0,44149.0,44149.0,44149.0,0.1825,23666.0,84131.0,2.985724643710404,86301-3720,34.616766,-112.449741
The School of Architecture,Scottsdale,AZ,2,540.0,,,46093.0,,29060.0,,29082.0,0.3984,,40747.0,4.524799371732889,85250,33.524271,-111.916785
Glendale Community College,Glendale,AZ,1,11975.0,0.1598,18037.0,18037.0,2358.0,2358.0,8958.0,8958.0,0.2694,6960.0,43108.0,1.6736568618353902,85302,33.570226,-112.190735
Grand Canyon University,Phoenix,AZ,3,73371.0,0.4346,32702.0,32702.0,17850.0,17850.0,17850.0,17850.0,0.4594,22114.0,42186.0,3.1007443227611056,85017,33.513231,-112.129929
GateWay Community College,Phoenix,AZ,1,4538.0,0.2881,19314.0,19314.0,2358.0,2358.0,8958.0,8958.0,0.2754,6750.0,46147.0,1.6741283290354736,85034,33.449686,-111.997077
Mesa Community College,Mesa,AZ,1,14460.0,0.1564,18194.0,18194.0,2358.0,2358.0,8958.0,8958.0,0.2097,7473.0,44034.0,1.6527228959440432,85202,33.390323,-111.871255
Mohave Community College,Kingman,AZ,1,3216.0,,11837.0,11837.0,2208.0,2208.0,7968.0,7968.0,0.3607,9700.0,35522.0,1.3329204436687123,86409-1238,35.270996,-114.029838
Universal Technical Institute-Phoenix,Avondale,AZ,3,527.0,,,31946.0,,16657.0,,16657.0,0.4732,13097.0,48341.0,2.6433876005874932,85323,33.453005,-112.288123
Dine College,Tsaile,AZ,1,1375.0,0.1259,11923.0,11923.0,1410.0,1410.0,1410.0,1410.0,0.4333,,29188.0,1.633959161299164,86556,36.293328,-109.21684
Northern Arizona University,Flagstaff,AZ,1,22903.0,0.6132,29933.0,29933.0,13009.0,13009.0,29881.0,29881.0,0.3126,19000.0,54384.0,2.201603412768461,86011-4092,35.188449,-111.653724
Northland Pioneer College,Holbrook,AZ,1,1010.0,0.2188,14263.0,14263.0,2232.0,2232.0,10320.0,10320.0,0.1278,,34199.0,1.6682359133307991,86025-0610,34.93031,-110.142199
Phoenix College,Phoenix,AZ,1,8555.0,0.1358,18594.0,18594.0,2358.0,2358.0,8958.0,8958.0,0.2724,6750.0,40870.0,1.8198189380964032,85013,33.481361,-112.088293
Pima Community College,Tucson,AZ,1,14242.0,,9851.0,9851.0,2442.0,2442.0,7758.0,7758.0,0.3451,7000.0,39810.0,0.9898015573976388,85709-1275,32.222125,-110.886659
Pima Medical Institute-Tucson,Tucson,AZ,3,2567.0,0.7229,,31946.0,,16657.0,,16657.0,0.4981,9500.0,38673.0,3.304217412665167,85712,32.248067,-110.878783
Pima Medical Institute-Albuquerque,Albuquerque,NM,3,562.0,,,31946.0,,16657.0,,16657.0,0.5881,5500.0,30917.0,4.133130640100916,87110,35.104855,-106.59488
Prescott College,Prescott,AZ,2,219.0,0.5556,48532.0,48532.0,35685.0,35685.0,35685.0,35685.0,0.4163,16300.0,42359.0,4.582922165301353,86301,34.5452,-112.477185
Refrigeration School Inc,Phoenix,AZ,3,1346.0,,,31946.0,,16657.0,,16657.0,0.6186,8233.0,52953.0,2.4131588389704075,85034-1816,33.448692,-111.989357
Rio Salado College,Tempe,AZ,1,11668.0,0.0851,13425.0,13425.0,2358.0,2358.0,8958.0,8958.0,0.0682,9500.0,41015.0,1.3092770937461904,85281,33.413309,-111.97417
Roberto-Venn School of Luthiery,Phoenix,AZ,3,21.0,,,31946.0,,16657.0,,16657.0,0.1739,,35209.0,3.6292993268766507,85007,33.45489,-112.086161
Scottsdale Community College,Scottsdale,AZ,1,5377.0,0.1732,19281.0,19281.0,2358.0,2358.0,8958.0,8958.0,0.1434,8000.0,47905.0,1.609936332324392,85256,33.51135,-111.885186
South Mountain Community College,Phoenix,AZ,1,3645.0,0.1632,18898.0,18898.0,2358.0,2358.0,8958.0,8958.0,0.2964,8000.0,39825.0,1.898104205900816,85042,33.382406,-112.032635
Arizona Christian University,Glendale,AZ,2,1165.0,0.3987,54792.0,54792.0,35098.0,35098.0,35098.0,35098.0,0.3388,23000.0,51612.0,4.246454312950477,85306-3216,33.622952,-112.181776
Universal Technical Institute of Arizona Inc,Avondale,AZ,3,1957.0,,,31946.0,,16657.0,,16657.0,0.4889,13124.0,52873.0,2.416810092107503,85323,33.453005,-112.288123
Yavapai College,Prescott,AZ,1,3988.0,0.3353,14988.0,14988.0,2948.0,2948.0,9486.0,9486.0,0.2097,9000.0,39890.0,1.5029330659313112,86301,34.547495,-112.453395
University of Arkansas at Little Rock,Little Rock,AR,1,4949.0,0.4165,22519.0,22519.0,9748.0,9748.0,22158.0,22158.0,0.4118,22000.0,45265.0,1.989970175632387,72204,34.723254,-92.339778
University of Arkansas for Medical Sciences,Little Rock,AR,1,1571.0,,,17783.0,,5507.0,,11010.0,0.2775,14000.0,73827.0,0.9634957400409064,72205-7199,34.750152,-92.322348
Arkansas Baptist College,Little Rock,AR,2,342.0,0.0739,23060.0,23060.0,8760.0,8760.0,8760.0,8760.0,0.7936,25375.0,28418.0,3.2458301076782323,72202-6068,34.734751,-92.290555
Arkansas Beauty School-Little Rock,Little Rock,AR,3,106.0,,,31946.0,,16657.0,,16657.0,0.5141,6333.0,18078.0,7.0684810266622415,72209,34.672171,-92.343366
Arkansas Beauty College,Russellville,AR,3,61.0,,,31946.0,,16657.0,,16657.0,0.5641,,16857.0,7.5804710209408555,72801,35.27902,-93.135369
Lyon College,Batesville,AR,2,648.0,0.4676,44978.0,44978.0,31000.0,31000.0,31000.0,31000.0,0.4061,21500.0,44232.0,4.067462470609513,72501,35.777619,-91.625354
Arkansas Technical School,North Little Rock,AR,3,123.0,,,31946.0,,16657.0,,16657.0,0.6833,16500.0,16209.0,7.883521500401012,72114,34.753843,-92.266429
University of Arkansas,Fayetteville,AR,1,28677.0,0.7052,27767.0,27767.0,10104.0,10104.0,29966.0,29966.0,0.1779,21500.0,58191.0,1.9086800364317507,72701,36.070009,-94.176981
University of Arkansas at Pine Bluff,Pine Bluff,AR,1,1807.0,0.4043,21129.0,21129.0,9412.0,9412.0,17992.0,17992.0,0.695,24202.0,35550.0,2.3773839662447256,71601,34.244031,-92.018683
Arkansas State University-Beebe,Beebe,AR,1,1986.0,,18771.0,18771.0,3336.0,3336.0,5232.0,5232.0,0.3505,8093.0,36603.0,2.05130726989591,72012-1000,35.074176,-91.895351
Arkansas State University,Jonesboro,AR,1,9110.0,0.554,25082.0,25082.0,8090.0,8090.0,14522.0,14522.0,0.3838,20500.0,42617.0,2.3541779102236196,72401,35.842388,-90.679988
Arkansas Tech University,Russellville,AR,1,5388.0,0.4856,22808.0,22808.0,8674.0,8674.0,14668.0,14668.0,0.3389,21000.0,41766.0,2.1843604846047024,72801,35.296091,-93.137172
University of Arkansas at Monticello,Monticello,AR,1,1933.0,0.4855,22519.0,22519.0,9292.0,9292.0,14857.0,14857.0,0.5038,19971.0,36902.0,2.4409517099344207,71656,33.590909,-91.811153
Arthur's Beauty College,Jacksonville,AR,3,29.0,,,31946.0,,16657.0,,16657.0,0.6935,9833.0,21954.0,5.820533843490936,72076,34.891572,-92.102579
Baptist Health College Little Rock,Little Rock,AR,2,569.0,,31961.0,31961.0,13987.0,13987.0,13987.0,13987.0,0.4551,10000.0,62244.0,2.0539168433905277,72210-2827,34.713115,-92.40692
Black River Technical College,Pocahontas,AR,1,903.0,,14374.0,14374.0,4776.0,4776.0,7488.0,7488.0,0.3731,9500.0,34818.0,1.6513297719570337,72455,36.239793,-90.951033
University of Central Arkansas,Conway,AR,1,7762.0,0.5353,25029.0,25029.0,10523.0,10523.0,18023.0,18023.0,0.3798,20346.0,45938.0,2.179372197309417,72035-0001,35.077945,-92.457672
Central Baptist College,Conway,AR,2,484.0,0.3411,30605.0,30605.0,21330.0,21330.0,21330.0,21330.0,0.3982,22250.0,46789.0,2.6164269379555023,72034,35.083838,-92.445021
Cossatot Community College of the University of Arkansas,De Queen,AR,1,772.0,,11538.0,11538.0,4200.0,4200.0,5070.0,5070.0,0.3157,,33775.0,1.3664544781643226,71832,34.043389,-94.3673
Crowley's Ridge College,Paragould,AR,2,165.0,0.3585,27340.0,27340.0,16670.0,16670.0,16670.0,16670.0,0.4178,26228.0,39533.0,2.7662965117749727,72450,36.064845,-90.584395
East Arkansas Community College,Forrest City,AR,1,554.0,,13240.0,13240.0,3300.0,3300.0,4380.0,4380.0,0.252,6000.0,28471.0,1.8601383864282954,72335-2204,35.041655,-90.767726
Paul Mitchell the School-Little Rock,North Little Rock,AR,3,360.0,,,31946.0,,16657.0,,16657.0,0.6135,10725.0,24765.0,5.159862709469008,72117,34.789913,-92.222202
National Park College,Hot Springs,AR,1,1789.0,,19331.0,19331.0,5600.0,5600.0,7280.0,7280.0,0.4801,10500.0,32444.0,2.383306620638639,71913,34.512687,-93.119248
University of Arkansas Community College-Batesville,Batesville,AR,1,751.0,,15808.0,15808.0,3630.0,3630.0,4662.0,4662.0,0.4696,10250.0,33706.0,1.8759864712514092,72503-3350,35.792923,-91.615852
Harding University,Searcy,AR,2,3382.0,0.6879,39534.0,39534.0,26262.0,26262.0,26262.0,26262.0,0.2381,26500.0,52876.0,2.9906952114380814,72149-5615,35.247386,-91.726143
Henderson State University,Arkadelphia,AR,1,1456.0,0.3734,27385.0,27385.0,8244.0,8244.0,10620.0,10620.0,0.4622,19500.0,43459.0,2.5205365977127867,71999-0001,34.128155,-93.059703
Hendrix College,Conway,AR,2,1100.0,0.7235,55013.0,55013.0,38200.0,38200.0,38200.0,38200.0,0.2319,26688.0,60376.0,3.6446932555982507,72032-3080,35.101565,-92.443256
Hot Springs Beauty College,Hot Springs,AR,3,86.0,,,31946.0,,16657.0,,16657.0,0.7361,9700.0,21563.0,5.926077076473589,71901,34.496057,-93.037277
Jefferson Regional School of Nursing,Pine Bluff,AR,2,92.0,,,46093.0,,29060.0,,29082.0,0.5446,12000.0,73975.0,2.492355525515377,71603,34.191628,-92.05568
John Brown University,Siloam Springs,AR,2,1471.0,0.7179,44710.0,44710.0,31756.0,31756.0,31756.0,31756.0,0.237,21250.0,53907.0,3.317565436770735,72761,36.189812,-94.560283
Career Academy of Hair Design,Springdale,AR,3,245.0,,,31946.0,,16657.0,,16657.0,0.6913,6365.0,21567.0,5.924977975610887,72764-7128,36.167605,-94.12947
Academy of Salon and Spa,Fort Smith,AR,3,52.0,,,31946.0,,16657.0,,16657.0,0.6638,4833.0,16941.0,7.542884127265214,72901,35.38097,-94.41616
Arkansas State University Mid-South,West Memphis,AR,1,502.0,,14365.0,14365.0,3216.0,3216.0,4824.0,4824.0,0.3105,,31857.0,1.8036852183193646,72301-3829,35.145736,-90.22285
Arkansas Northeastern College,Blytheville,AR,1,756.0,,12094.0,12094.0,2570.0,2570.0,4250.0,4250.0,0.2398,,33169.0,1.4584702583737827,72316-1109,35.898597,-89.921005
New Tyler Barber College Inc,North Little Rock,AR,3,39.0,,,31946.0,,16657.0,,16657.0,0.8485,,18715.0,6.827892065188352,72114-4973,34.760085,-92.254171
North Arkansas College,Harrison,AR,1,1202.0,,16846.0,16846.0,3504.0,3504.0,5592.0,5592.0,0.3591,9000.0,34653.0,1.9445358266239576,72601-5508,36.219909,-93.08844
Northwest Technical Institute,Springdale,AR,1,206.0,,19487.0,19487.0,6277.0,6277.0,6277.0,6277.0,0.788,,41513.0,1.877676872305061,72764,36.178032,-94.115346
Ouachita Baptist University,Arkadelphia,AR,2,1602.0,0.614,47321.0,47321.0,34500.0,34500.0,34500.0,34500.0,0.2341,21050.0,51673.0,3.6631122636580034,71998-0001,34.126093,-93.052471
Arkansas State University Three Rivers,Malvern,AR,1,550.0,,14579.0,14579.0,3788.0,3788.0,4388.0,4388.0,0.1415,10250.0,37374.0,1.5603360625033447,72104-0816,34.378745,-92.821416
Ozarka College,Melbourne,AR,1,575.0,,12069.0,12069.0,3820.0,3820.0,6820.0,6820.0,0.4186,9818.0,29314.0,1.6468581565122467,72556-0010,36.053031,-91.896355
University of the Ozarks,Clarksville,AR,2,767.0,0.5148,38666.0,38666.0,25950.0,25950.0,25950.0,25950.0,0.3984,20875.0,44384.0,3.484679163662581,72830,35.476278,-93.467221
University of Arkansas Community College-Morrilton,Morrilton,AR,1,1447.0,,15362.0,15362.0,3648.0,3648.0,4728.0,4728.0,0.3919,10315.0,34924.0,1.7594777230557783,72110,35.172136,-92.728507
Philander Smith University,Little Rock,AR,2,751.0,0.3038,28136.0,28136.0,13014.0,13014.0,13014.0,13014.0,0.6781,24736.0,38427.0,2.9287740390871004,72202-3799,34.737131,-92.283015
Phillips Community College of the University of Arkansas,Helena,AR,1,614.0,,11567.0,11567.0,3380.0,3380.0,4550.0,4550.0,0.3437,,29552.0,1.5656469951272334,72342-0785,34.546155,-90.616884
